Age,Income,Credit_Score,Income_to_Expense_Ratio,Marital_Status,Guarantor,Purpose,Dependents,Ongoing_Loans,Ongoing_Loan_Amount,Ongoing_Loan_EMI,FD,FD_Amount,Geo_Location,Employment_Years,Loan_Amount,Tenure_Months,EMI,Interest_Rate,Interest_Amount
56,149088,439,0.32,Married,Yes,Personal loan,5,3,154766,3158,Yes,270292,Urban,6,133031,12,11857,12.61,9253
46,223666,656,0.49,Married,Yes,Business loan,0,0,0,0,No,0,Urban,31,109596,120,1444,9.94,63684
32,296616,322,0.76,Married,No,Home loan,3,3,592472,21159,No,0,Urban,22,50000,60,1170,14.28,20200
60,192885,569,0.53,Married,No,Medical loan,0,1,1912854,34779,Yes,422567,Urban,8,50000,36,1668,12.31,10048
25,241440,632,0.58,Married,No,Business loan,1,1,1849693,115605,No,0,Urban,28,50000,36,1641,11.18,9076
38,267803,384,0.9,Married,Yes,Business loan,2,2,879203,67631,Yes,220247,Urban,26,50000,120,736,12.66,38320
56,177093,330,0.48,Married,No,Business loan,0,2,661283,12716,No,0,Urban,37,50000,120,782,14.2,43840
36,165159,539,0.63,Married,No,Business loan,0,2,831321,18473,Yes,87010,Urban,20,50000,60,1115,12.11,16900
40,22828,662,0.46,Married,Yes,Business loan,2,2,1507290,48622,No,0,Urban,5,50000,24,2316,10.38,5584
28,142473,688,0.47,Single,No,Education loan,3,1,1168374,20497,Yes,322395,Rural,25,50000,120,678,10.62,31360
28,287337,598,0.69,Single,No,Auto loan,3,3,345058,5949,No,0,Rural,19,97135,12,8608,11.52,6161
41,233461,670,0.86,Single,Yes,Home loan,0,2,573666,44128,No,0,Urban,14,50000,24,2302,9.8,5248
53,291755,398,0.58,Single,Yes,Home loan,2,3,1806916,46331,No,0,Urban,37,50000,240,568,12.52,86320
57,184863,346,0.74,Single,Yes,Education loan,5,2,1490682,51402,No,0,Urban,19,50000,60,1138,13.04,18280
41,249719,721,0.26,Married,Yes,Medical loan,0,0,0,0,Yes,72343,Urban,14,101098,24,4632,9.29,10070
20,218475,779,0.35,Single,No,Education loan,2,2,1930508,35100,No,0,Rural,28,50000,120,652,9.71,28240
39,274889,878,0.55,Married,Yes,Business loan,1,3,215957,4319,No,0,Urban,5,91801,36,2886,8.22,12095
19,276010,361,0.21,Married,Yes,Auto loan,5,2,1923223,32597,No,0,Rural,15,50000,120,743,12.89,39160
41,173317,408,0.38,Single,No,Home loan,2,0,0,0,No,0,Urban,0,59274,36,2023,13.92,13554
61,81354,848,0.56,Single,No,Medical loan,0,3,1949328,42376,Yes,924375,Rural,5,50000,36,1602,9.52,7672
47,61374,418,0.21,Married,No,Personal loan,4,3,530150,20390,No,0,Urban,15,50000,12,4473,13.32,3676
55,124397,897,0.39,Married,No,Education loan,3,3,683447,11783,Yes,121734,Urban,32,50000,120,620,8.53,24400
19,258552,681,0.56,Married,No,Personal loan,0,1,1652788,33055,No,0,Urban,6,50000,120,694,11.19,33280
38,39336,691,0.6,Married,Yes,Home loan,2,3,1809035,35471,No,0,Rural,9,50000,60,1064,10.09,13840
50,65350,351,0.85,Married,No,Education loan,5,1,1161689,23233,Yes,146485,Urban,7,50000,60,1176,14.49,20560
29,79561,588,0.65,Married,No,Home loan,5,0,0,0,No,0,Urban,20,50000,12,4433,11.62,3196
39,71240,636,0.49,Married,No,Education loan,2,3,836750,59767,No,0,Rural,25,50000,60,1090,11.14,15400
61,161165,503,0.85,Married,No,Medical loan,3,3,1831633,61054,No,0,Urban,36,50000,60,1124,12.47,17440
42,56607,537,0.75,Married,No,Home loan,0,3,652147,19180,No,0,Urban,17,50000,36,1663,12.13,9868
44,196740,681,0.34,Single,No,Personal loan,5,0,0,0,No,0,Rural,3,50168,120,696,11.19,33352
59,191196,435,0.29,Married,Yes,Auto loan,5,1,973253,32441,No,0,Urban,19,50000,24,2357,12.15,6568
45,74110,706,0.67,Married,Yes,Medical loan,4,2,1197134,41280,Yes,688931,Urban,39,50000,24,2294,9.44,5056
33,194626,807,0.59,Married,No,Medical loan,1,0,0,0,No,0,Urban,18,109087,120,1407,9.43,59753
32,162008,661,0.75,Single,No,Education loan,4,0,0,0,No,0,Urban,32,97204,60,2108,10.89,29276
64,14426,680,0.72,Single,Yes,Personal loan,1,0,0,0,No,0,Urban,22,50000,120,652,9.7,28240
61,229911,875,0.64,Single,No,Home loan,5,1,1763464,43011,No,0,Urban,8,50000,120,640,9.25,26800
20,299750,553,0.89,Single,Yes,Personal loan,1,1,71441,1428,No,0,Urban,37,236302,120,3251,10.97,153818
54,38151,776,0.57,Single,Yes,Medical loan,0,1,713886,23796,No,0,Urban,17,50000,24,2278,8.74,4672
24,283452,413,0.28,Married,No,Education loan,5,1,814947,50934,No,0,Rural,1,50000,36,1705,13.87,11380
38,250853,319,0.78,Single,Yes,Personal loan,5,1,1528953,63706,No,0,Rural,16,50000,60,1145,13.31,18700
26,264595,827,0.38,Single,Yes,Home loan,1,3,1623908,36086,No,0,Rural,15,50000,24,2266,8.23,4384
56,186743,444,0.74,Single,Yes,Business loan,2,2,914733,26135,Yes,536632,Urban,23,79066,240,873,12.06,130454
35,100306,507,0.87,Married,No,Medical loan,1,2,1802823,62166,No,0,Rural,30,50000,36,1671,12.43,10156
21,235180,830,0.69,Single,Yes,Auto loan,1,1,50961,3397,No,0,Urban,0,113396,240,998,8.7,126124
42,12204,675,0.62,Single,No,Auto loan,3,1,1561077,33214,No,0,Urban,27,50000,24,2324,10.75,5776
31,102769,803,0.52,Married,No,Medical loan,3,3,546085,28741,No,0,Urban,32,50000,36,1600,9.47,7600
26,97265,465,0.46,Married,No,Business loan,0,1,1466540,27158,Yes,346529,Rural,36,50000,60,1133,12.85,17980
43,62428,849,0.45,Single,Yes,Education loan,0,3,1281614,106801,No,0,Urban,38,50000,120,606,8.01,22720
19,43870,480,0.65,Single,No,Personal loan,2,3,329117,6329,No,0,Urban,3,50000,36,1689,13.2,10804
37,113547,743,0.73,Single,Yes,Personal loan,3,0,0,0,Yes,88848,Rural,0,114879,60,2416,9.57,30081
45,245990,631,0.67,Married,No,Business loan,4,0,0,0,Yes,422682,Rural,32,343191,36,11266,11.19,62385
64,59067,802,0.34,Single,No,Business loan,0,1,1313556,26807,Yes,686462,Urban,9,50000,12,4395,9.98,2740
24,248083,378,0.55,Married,Yes,Home loan,0,3,552551,11756,No,0,Urban,2,50000,36,1690,13.22,10840
